  >>> 최종 선택 11011: np=246338918347/None  np_owner=136191668992/None  np_nci=110147249355/None  eps_basic=5084/None  

### 139480 11011/CFS
  IS   당기=322541170250  누적=None  | 영업이익(손실) | dart_OperatingIncomeLoss
  IS   당기=623277735706  누적=None  | 기타수익 | dart_OtherGains
  IS   당기=164122196342  누적=None  | 기타비용 | dart_OtherLosses
  IS   당기=8770437041390  누적=None  | 판매비와관리비 | dart_TotalSellingGeneralAdministrativeExpenses
  IS   당기=19877410052218  누적=None  | 매출원가 | ifrs-full_CostOfSales
  IS   당기=5084  누적=None  | 기본주당이익(손실) | ifrs-full_BasicEarningsLossPerShare
  IS   당기=5084  누적=None  | 희석주당이익(손실) | ifrs-full_DilutedEarningsLossPerShare
  IS   당기=643292793168  누적=None  | 금융비용 | ifrs-full_FinanceCosts
  IS   당기=329994211603  누적=None  | 금융수익 | ifrs-full_FinanceIncome
  IS   당기=9092978211640  누적=None  | 매출총이익 | ifrs-full_GrossProfit
  IS   당기=80473282009  누적=None  | 손상차손 | ifrs-full_ImpairmentLossRecognisedInProfitOrLoss
  IS   당기=130037969250  누적=None  | 법인세비용(수익) | ifrs-full_IncomeTaxExpenseContinuingOperations
  IS   당기=246338918347  누적=None  | 당기순이익(손실) | ifrs-full_ProfitLoss
  IS   당기=110147249355  누적=None  | 비지배주주지분 | ifrs-full_ProfitLossAttributableToNoncontrollingInterests
  IS   당기=136191668992  누적=None  | 지배기업소유주지분순이익 | ifrs-full_ProfitLossAttributableToOwnersOfParent
  IS   당기=376376887597  누적=None  | 법인세비용차감전순이익(손실) | ifrs-full_ProfitLossBeforeTax
  IS   당기=28970388263858  누적=None  | 매출액 | ifrs-full_Revenue
  IS   당기=10812414670  누적=None  | 손상차손환입 | ifrs-full_ReversalOfImpairmentLossRecognisedInProfitOrLoss
  IS   당기=-22360373113  누적=None  | 지분법손익 | ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
  CIS  당기=813592782685  누적=None  | 당기총포괄손익 | ifrs-full_ComprehensiveIncome
  CIS  당기=110048951741  누적=None  | 비지배주주지분 | ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
  CIS  당기=703543830944  누적=None  | 지배기업소유주지분 | ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
  CIS  당기=567253864338  누적=None  | 기타포괄손익 | ifrs-full_OtherComprehensiveIncome
  CIS  당기=-16559943146  누적=None  | 당기손익으로재분류될수있는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=26604768720  누적=None  | 파생상품자산ㆍ부채평가손익 | ifrs-full_GainsLossesOnCashFlowHedgesBeforeTax
  CIS  당기=-37050952618  누적=None  | 해외사업환산손익 | ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationBeforeTax
  CIS  당기=6634219250  누적=None  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss
  CIS  당기=520460002  누적=None  | 지분법자본변동 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=583813807484  누적=None  | 당기손익으로재분류되지않는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=183016402212  누적=None  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLoss
  CIS  당기=742593303439  누적=None  | 기타포괄손익-공정가치측정금융자산평가손익 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments
  CIS  당기=24185071871  누적=None  | 순확정급여부채의재측정요소 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans
  CIS  당기=51834386  누적=None  | 관계기업및공동기업순확정급여부채의재측정요소중지분해당액 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=246338918347  누적=None  | 당기순이익(손실) | ifrs-full_ProfitLoss
  >>> 최종 선택 11011: np=-573430173306/None  np_owner=-590019504443/None  np_nci=16589331137/None  eps_basic=-22240/None  

### 139480 11011/CFS
  IS   당기=47098144142  누적=None  | 영업이익(손실) | dart_OperatingIncomeLoss
  IS   당기=122726926604  누적=None  | 기타수익 | dart_OtherGains
  IS   당기=98669272130  누적=None  | 기타비용 | dart_OtherLosses
  IS   당기=8994041452395  누적=None  | 판매비와관리비 | dart_TotalSellingGeneralAdministrativeExpenses
  IS   당기=19979757264311  누적=None  | 매출원가 | ifrs-full_CostOfSales
  IS   당기=-22240  누적=None  | 기본주당이익(손실) | ifrs-full_BasicEarningsLossPerShare
  IS   당기=-22240  누적=None  | 희석주당이익(손실) | ifrs-full_DilutedEarningsLossPerShare
  IS   당기=742165181058  누적=None  | 금융비용 | ifrs-full_FinanceCosts
  IS   당기=342752147890  누적=None  | 금융수익 | ifrs-full_FinanceIncome
  IS   당기=9041139596537  누적=None  | 매출총이익 | ifrs-full_GrossProfit
  IS   당기=305260076464  누적=None  | 손상차손 | ifrs-full_ImpairmentLossRecognisedInProfitOrLoss
  IS   당기=-31981192460  누적=None  | 법인세비용(수익) | ifrs-full_IncomeTaxExpenseContinuingOperations
  IS   당기=-573430173306  누적=None  | 당기순이익(손실) | ifrs-full_ProfitLoss
  IS   당기=16589331137  누적=None  | 비지배주주지분 | ifrs-full_ProfitLossAttributableToNoncontrollingInterests
  IS   당기=-590019504443  누적=None  | 지배기업소유주지분 | ifrs-full_ProfitLossAttributableToOwnersOfParent
  IS   당기=-605411365766  누적=None  | 법인세비용차감전순이익(손실) | ifrs-full_ProfitLossBeforeTax
  IS   당기=29020896860848  누적=None  | 매출액 | ifrs-full_Revenue
  IS   당기=5105635043  누적=None  | 손상차손환입 | ifrs-full_ReversalOfImpairmentLossRecognisedInProfitOrLoss
  IS   당기=23000310207  누적=None  | 지분법손익 | ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
  CIS  당기=-278819290091  누적=None  | 당기총포괄손익 | ifrs-full_ComprehensiveIncome
  CIS  당기=17946297399  누적=None  | 비지배주주지분 | ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
  CIS  당기=-296765587490  누적=None  | 지배기업소유주지분 | ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
  CIS  당기=294610883215  누적=None  | 기타포괄손익 | ifrs-full_OtherComprehensiveIncome
  CIS  당기=138603815380  누적=None  | 당기손익으로재분류될수있는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=-5592330268  누적=None  | 파생상품자산ㆍ부채평가손익 | ifrs-full_GainsLossesOnCashFlowHedgesBeforeTax
  CIS  당기=142074318411  누적=None  | 해외사업환산손익 | ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationBeforeTax
  CIS  당기=-1289610465  누적=None  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss
  CIS  당기=832216772  누적=None  | 지분법자본변동 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=156007067835  누적=None  | 당기손익으로재분류되지않는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=51314193025  누적=None  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLoss
  CIS  당기=292369758840  누적=None  | 기타포괄손익-공정가치측정금융자산평가손익 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments
  CIS  당기=-84801027399  누적=None  | 순확정급여부채의재측정요소 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans
  CIS  당기=-247470581  누적=None  | 관계기업및공동기업순확정급여부채의재측정요소중지분해당액 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=-573430173306  누적=None  | 당기순이익(손실) | ifrs-full_ProfitLoss
  >>> 최종 선택 11011: np=-187466317757/None  np_owner=-89092675616/None  np_nci=-98373642141/None  eps_basic=-3864/None  

### 139480 11011/CFS
  IS   당기=-46935431343  누적=None  | 영업이익(손실) | dart_OperatingIncomeLoss
  IS   당기=241496441012  누적=None  | 기타수익 | dart_OtherGains
  IS   당기=101355040810  누적=None  | 기타비용 | dart_OtherLosses
  IS   당기=8791102020756  누적=None  | 판매비와관리비 | dart_TotalSellingGeneralAdministrativeExpenses
  IS   당기=20728081305046  누적=None  | 매출원가 | ifrs-full_CostOfSales
  IS   당기=-3864  누적=None  | 기본주당이익(손실) | ifrs-full_BasicEarningsLossPerShare
  IS   당기=-3864  누적=None  | 희석주당이익(손실) | ifrs-full_DilutedEarningsLossPerShare
  IS   당기=594612449120  누적=None  | 금융비용 | ifrs-full_FinanceCosts
  IS   당기=317959477152  누적=None  | 금융수익 | ifrs-full_FinanceIncome
  IS   당기=8744166589413  누적=None  | 매출총이익 | ifrs-full_GrossProfit
  IS   당기=44559192580  누적=None  | 손상차손 | ifrs-full_ImpairmentLossRecognisedInProfitOrLoss
  IS   당기=-24822561405  누적=None  | 법인세비용(수익) | ifrs-full_IncomeTaxExpenseContinuingOperations
  IS   당기=-187466317757  누적=None  | 당기순이익(손실) | ifrs-full_ProfitLoss
  IS   당기=-98373642141  누적=None  | 비지배주주지분 | ifrs-full_ProfitLossAttributableToNoncontrollingInterests
  IS   당기=-89092675616  누적=None  | 지배기업소유주지분 | ifrs-full_ProfitLossAttributableToOwnersOfParent
  IS   당기=-212288879162  누적=None  | 법인세비용차감전순이익(손실) | ifrs-full_ProfitLossBeforeTax
  IS   당기=29472247894459  누적=None  | 매출액 | ifrs-full_Revenue
  IS   당기=3319495165  누적=None  | 손상차손환입 | ifrs-full_ReversalOfImpairmentLossRecognisedInProfitOrLoss
  IS   당기=12397821362  누적=None  | 지분법손익 | ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
  CIS  당기=-393970617234  누적=None  | 당기총포괄손익 | ifrs-full_ComprehensiveIncome
  CIS  당기=-119913001973  누적=None  | 비지배주주지분 | ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
  CIS  당기=-274057615261  누적=None  | 지배기업소유주지분 | ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
  CIS  당기=-206504299477  누적=None  | 기타포괄손익 | ifrs-full_OtherComprehensiveIncome
  CIS  당기=-5463652586  누적=None  | 당기손익으로재분류될수있는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=-28281452901  누적=None  | 파생상품자산ㆍ부채평가손익 | ifrs-full_GainsLossesOnCashFlowHedgesBeforeTax
  CIS  당기=16421974670  누적=None  | 해외사업환산손익 | ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationBeforeTax
  CIS  당기=-6498378610  누적=None  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss
  CIS  당기=-102552965  누적=None  | 지분법자본변동 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=-201040646891  누적=None  | 당기손익으로재분류되지않는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=-55728553776  누적=None  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLoss
  CIS  당기=-5501768263  누적=None  | 기타포괄손익-공정가치측정금융자산평가손익 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments
  CIS  당기=-251034612197  누적=None  | 순확정급여부채의재측정요소 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans
  CIS  당기=-232820207  누적=None  | 관계기업및공동기업순확정급여부채의재측정요소중지분해당액 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=-187466317757  누적=None  | 당기순이익(손실) | ifrs-full_ProfitLoss
  >>> 최종 선택 11011: np=1007725545174/None  np_owner=1029282329467/None  np_nci=-21556784293/None  eps_basic=37528/None  

### 139480 11011/CFS
  IS   당기=29332413845888  누적=None  | 매출액 | ifrs-full_Revenue
  IS   당기=21009679618058  누적=None  | 매출원가 | ifrs-full_CostOfSales
  IS   당기=8322734227830  누적=None  | 매출총이익 | ifrs-full_GrossProfit
  IS   당기=8187082545935  누적=None  | 판매비와관리비 | dart_TotalSellingGeneralAdministrativeExpenses
  IS   당기=135651681895  누적=None  | 영업이익 | dart_OperatingIncomeLoss
  IS   당기=1399654509148  누적=None  | 기타수익 | dart_OtherGains
  IS   당기=96860614205  누적=None  | 기타비용 | dart_OtherLosses
  IS   당기=361908133262  누적=None  | 금융수익 | ifrs-full_FinanceIncome
  IS   당기=529725371837  누적=None  | 금융비용 | ifrs-full_FinanceCosts
  IS   당기=11182679915  누적=None  | 지분법손익 | -표준계정코드 미사용-
  IS   당기=2823346522  누적=None  | 손상차손환입 | -표준계정코드 미사용-
  IS   당기=32150488417  누적=None  | 손상차손 | -표준계정코드 미사용-
  IS   당기=1252483876283  누적=None  | 법인세비용차감전순이익 | ifrs-full_ProfitLossBeforeTax
  IS   당기=244758331109  누적=None  | 법인세비용 | ifrs-full_IncomeTaxExpenseContinuingOperations
  IS   당기=1007725545174  누적=None  | 당기순이익 | ifrs-full_ProfitLoss
  IS   당기=1029282329467  누적=None  | 지배기업소유주지분 | ifrs-full_ProfitLossAttributableToOwnersOfParent
  IS   당기=-21556784293  누적=None  | 비지배주주지분 | ifrs-full_ProfitLossAttributableToNoncontrollingInterests
  IS   당기=37528  누적=None  | 기본주당순이익 | ifrs-full_BasicEarningsLossPerShare
  IS   당기=37528  누적=None  | 희석주당순이익 | ifrs-full_DilutedEarningsLossPerShare
  CIS  당기=1007725545174  누적=None  | 당기순이익 | ifrs-full_ProfitLoss
  CIS  당기=192872771609  누적=None  | 당기손익으로재분류되지않는항목 | dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=225138186974  누적=None  | 순확정급여부채의재측정요소 | dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans
  CIS  당기=18541650  누적=None  | 관계기업및공동기업순확정급여부채의재측정요소중지분해당액 | -표준계정코드 미사용-
  CIS  당기=21628972902  누적=None  | 기타포괄손익-공정가치측정금융자산평가손익 | -표준계정코드 미사용-
  CIS  당기=None  누적=None  | 기타포괄손익-공정가치측정금융자산처분손익 | -표준계정코드 미사용-
  CIS  당기=-53912929917  누적=None  | 관련법인세효과 | -표준계정코드 미사용-
  CIS  당기=60383839574  누적=None  | 후속적으로당기손익으로재분류되는항목 | dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=12572246021  누적=None  | 파생상품자산ㆍ부채평가손익 | ifrs-full_GainsLossesOnCashFlowHedgesNetOfTax
  CIS  당기=51653077  누적=None  | 지분법자본변동 | dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=50822575133  누적=None  | 해외사업환산손익 | ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax
  CIS  당기=-3062634657  누적=None  | 관련법인세효과 | -표준계정코드 미사용-
  CIS  당기=253256611183  누적=None  | 당기세후기타포괄손익 | -표준계정코드 미사용-
  CIS  당기=1260982156357  누적=None  | 당기총포괄손익 | ifrs-full_ComprehensiveIncome
  CIS  당기=1261569228532  누적=None  | 지배기업소유주지분 | ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
  CIS  당기=-587072175  누적=None  | 비지배주주지분 | ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
  >>> 최종 선택 11013: np=79394568399/79394568399  np_owner=59780794947/59780794947  np_nci=19613773452/19613773452  eps_basic=2232/2232  

### 139480 11013/CFS
  IS   당기=178323054716  누적=178323054716  | 영업이익 | dart_OperatingIncomeLoss
  IS   당기=44218057048  누적=44218057048  | 기타수익 | dart_OtherGains
  IS   당기=11472816391  누적=11472816391  | 기타비용 | dart_OtherLosses
  IS   당기=2022844636824  누적=2022844636824  | 판매비와관리비 | dart_TotalSellingGeneralAdministrativeExpenses
  IS   당기=4922260983772  누적=4922260983772  | 매출원가 | ifrs-full_CostOfSales
  IS   당기=2232  누적=2232  | 기본주당분기순이익 | ifrs-full_BasicEarningsLossPerShare
  IS   당기=2232  누적=2232  | 희석주당분기순이익 | ifrs-full_DilutedEarningsLossPerShare
  IS   당기=228053339983  누적=228053339983  | 금융비용 | ifrs-full_FinanceCosts
  IS   당기=174334484717  누적=174334484717  | 금융수익 | ifrs-full_FinanceIncome
  IS   당기=2201167691540  누적=2201167691540  | 매출총이익 | ifrs-full_GrossProfit
  IS   당기=446036680  누적=446036680  | 손상차손 | ifrs-full_ImpairmentLossRecognisedInProfitOrLoss
  IS   당기=36129012758  누적=36129012758  | 법인세비용 | ifrs-full_IncomeTaxExpenseContinuingOperations
  IS   당기=79394568399  누적=79394568399  | 분기순이익 | ifrs-full_ProfitLoss
  IS   당기=19613773452  누적=19613773452  | 비지배주주지분 | ifrs-full_ProfitLossAttributableToNoncontrollingInterests
  IS   당기=59780794947  누적=59780794947  | 지배기업소유주지분 | ifrs-full_ProfitLossAttributableToOwnersOfParent
  IS   당기=115523581157  누적=115523581157  | 법인세차감전순이익 | ifrs-full_ProfitLossBeforeTax
  IS   당기=7123428675312  누적=7123428675312  | 매출액 | ifrs-full_Revenue
  IS   당기=59066263  누적=59066263  | 손상차손환입 | ifrs-full_ReversalOfImpairmentLossRecognisedInProfitOrLoss
  IS   당기=-41438888533  누적=-41438888533  | 지분법손익 | ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
  CIS  당기=634326528677  누적=634326528677  | 분기총포괄손익 | ifrs-full_ComprehensiveIncome
  CIS  당기=18647436989  누적=18647436989  | 비지배주주지분 | ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
  CIS  당기=615679091688  누적=615679091688  | 지배기업소유주지분 | ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
  CIS  당기=554931960278  누적=554931960278  | 기타포괄손익 | ifrs-full_OtherComprehensiveIncome
  CIS  당기=109772027970  누적=109772027970  | 당기손익으로재분류될수있는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=22366701902  누적=22366701902  | 파생상품자산ㆍ부채평가손익 | ifrs-full_GainsLossesOnCashFlowHedgesBeforeTax
  CIS  당기=60070387436  누적=60070387436  | 해외사업환산손익 | ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationBeforeTax
  CIS  당기=5277785004  누적=5277785004  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss
  CIS  당기=32612723636  누적=32612723636  | 지분법자본변동 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=445159932308  누적=445159932308  | 당기손익으로재분류되지않는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=142595466761  누적=142595466761  | 관련법인세효과 | ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLoss
  CIS  당기=606297187899  누적=606297187899  | 기타포괄손익-공정가치측정금융자산평가손익 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments
  CIS  당기=-18297426656  누적=-18297426656  | 순확정급여부채의재측정요소 | ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans
  CIS  당기=-244362174  누적=-244362174  | 관계기업순확정급여부채의재측정요소중지분해당액 | ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax
  CIS  당기=79394568399  누적=79394568399  | 분기순이익 | ifrs-full_ProfitLoss
  >>> 최종 선택 11013: np=83612723338/83612723338  np_owner=70760701798/70760701798  np_nci=12852021540/12852021540  eps_basic=2641/2641  

### 139480 11013/CFS
  IS   당기=159318975212  누적=159318975212  | 영업이익 | dart_OperatingIncomeLoss
  IS   당기=21412092482  누적=21412092482  | 기타수익 | dart_OtherGains
  IS   당기=33441182876  누적=33441182876  | 기타비용 | dart_OtherLosses
  IS   당기=2112578987660  누적=2112578987660  | 판매비와관리비 | dart_TotalSellingGeneralAdministrativeExpenses
  IS   당기=4947028675963  누적=4947028675963  | 매출원가 | ifrs-full_CostOfSales
  IS   당기=2641  누적=2641  | 기본주당분기순이익 | ifrs-full_BasicEarningsLossPerShare
  IS   당기=2641  누적=2641  | 희석주당분기순이익 | ifrs-full_DilutedEarningsLossPerShare
  IS   당기=140595482370  누적=140595482370  | 금융비용 | ifrs-full_FinanceCosts
  IS   당기=101241433479  누적=101241433479  | 금융수익 | ifrs-full_FinanceIncome
  IS   당기=2271897962872  누적=2271897962872  | 매출총이익 | ifrs-full_GrossProfit
  IS   당기=253522253  누적=253522253  | 손상차손 | ifrs-full_ImpairmentLossRecognisedInProfitOrLoss
  IS   당기=35560755092  누적=35560755092  | 법인세비용 | ifrs-full_IncomeTaxExpenseContinuingOperations
  IS   당기=83612723338  누적=83612723338  | 분기순이익 | ifrs-full_ProfitLoss
  IS   당기=12852021540  누적=12852021540  | 비지배주주지분 | ifrs-full_ProfitLossAttributableToNoncontrollingInterests
  IS   당기=70760701798  누적=70760701798  | 지배기업소유주지분 | ifrs-full_ProfitLossAttributableToOwnersOfParent
  IS   당기=119173478430  누적=119173478430  | 법인세차감전순이익 | ifrs-full_ProfitLossBeforeTax
  IS   당기=7218926638835  누적=7218926638835  | 매출액 | ifrs-full_Revenue
  IS   당기=11491164756  누적=11491164756  | 지분법손익 | ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
  CIS  당기=-22185545391  누적=-22185545391  | 분기총포괄손익 | ifrs-full_ComprehensiveIncome
  CIS  당기=13022471651  누적=13022471651  | 비지배주주지분 | ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
  CIS  당기=-35208017042  누적=-35208017042  | 지배기업소유주지분 | ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
  CIS  당기=-105798268729  누적=-105798268729  | 기타포괄손익 | ifrs-full_OtherComprehensiveIncome
  CIS  당기=296803233  누적=296803233  | 당기손익으로재분류될수있는항목(세후기타포괄손익) | ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
  CIS  당기=5098046863  누적=5098046863  | 파생상품자산ㆍ부채평가손익 | ifrs-full_GainsLossesOnCashFlowHedgesBeforeTax
